sample_id	subject_id	clone_id	seq_count	seq_freq
P05_FNA_3_12_Y1	P05	25	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	251	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	266	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	27	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	270	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	273	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	274	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	275	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	28	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	289	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	292	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	314	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	317	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	327	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	328	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	329	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	346	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	352	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	357	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	358	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	363	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	365	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	374	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	39	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	396	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	398	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	405	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	408	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	41	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	413	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	414	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	423	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	424	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	425	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	43	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	436	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	442	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	445	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	446	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	456	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	457	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	460	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	465	1	0.00409836065573771
P05_FNA_3_12_Y1	P05	466	1	0.00409836065573771
